               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.033839,            0.022644,           0.0031188,             0.82504,             0.72224,             0.79045,             0.55392,            0.032824,            0.017888,           0.0057203,            0.006502,            0.006502,            0.006502
                  55,            0.033995,            0.022927,           0.0031752,              0.8079,             0.73418,             0.79079,              0.5549,            0.032846,            0.017669,           0.0057715,            0.006436,            0.006436,            0.006436
                  56,             0.03424,            0.023162,           0.0032322,             0.80612,             0.74168,             0.79258,             0.55613,            0.032789,            0.017599,           0.0057606,             0.00637,             0.00637,             0.00637
                  57,            0.034323,            0.023029,           0.0031545,             0.81841,              0.7282,             0.79304,             0.55657,            0.032759,            0.017778,           0.0056382,            0.006304,            0.006304,            0.006304
                  58,            0.033678,             0.02229,           0.0030584,             0.81204,             0.73009,             0.79076,             0.55674,            0.032795,            0.017985,           0.0054619,            0.006238,            0.006238,            0.006238
                  59,            0.033568,            0.022655,           0.0030141,              0.8062,              0.7352,             0.79297,             0.55745,            0.032677,             0.01788,           0.0054538,            0.006172,            0.006172,            0.006172
                  60,             0.03366,            0.022655,           0.0028712,             0.79329,             0.74134,             0.79001,             0.55715,            0.032668,            0.017829,           0.0056213,            0.006106,            0.006106,            0.006106
                  61,            0.033588,            0.022599,           0.0029408,             0.79936,             0.73981,             0.79134,             0.55891,            0.032623,             0.01777,           0.0056005,             0.00604,             0.00604,             0.00604
                  62,             0.03348,            0.022348,           0.0029882,             0.80481,              0.7367,             0.79078,             0.55831,            0.032607,             0.01789,           0.0055892,            0.005974,            0.005974,            0.005974
                  63,            0.033544,            0.022593,           0.0030038,             0.80034,             0.73987,             0.78914,             0.55773,            0.032519,            0.017896,           0.0056834,            0.005908,            0.005908,            0.005908
                  64,            0.033496,            0.022473,           0.0028005,             0.81273,              0.7358,             0.79127,             0.55854,            0.032453,            0.017908,           0.0055866,            0.005842,            0.005842,            0.005842
                  65,            0.033554,            0.022816,           0.0027213,             0.81186,              0.7362,              0.7912,             0.55787,            0.032553,            0.017988,           0.0056403,            0.005776,            0.005776,            0.005776
                  66,            0.033313,              0.0223,           0.0028892,             0.81209,             0.73574,             0.79019,             0.55728,            0.032613,            0.018083,           0.0057159,             0.00571,             0.00571,             0.00571
                  67,            0.032907,            0.022134,           0.0027043,             0.82202,             0.72441,             0.78744,             0.55539,            0.032699,            0.018183,           0.0058215,            0.005644,            0.005644,            0.005644
                  68,            0.032904,            0.021786,           0.0026271,             0.82001,             0.72369,             0.78683,              0.5554,            0.032697,            0.018271,           0.0057789,            0.005578,            0.005578,            0.005578
                  69,            0.032631,              0.0218,           0.0027453,             0.81197,             0.73142,             0.78664,             0.55536,            0.032692,            0.018239,           0.0057058,            0.005512,            0.005512,            0.005512
                  70,            0.032766,            0.022273,           0.0027086,             0.81075,              0.7332,             0.78715,             0.55574,              0.0327,            0.018188,            0.005702,            0.005446,            0.005446,            0.005446
                  71,            0.032966,            0.022098,           0.0027683,             0.81546,             0.73222,             0.78735,             0.55586,            0.032695,            0.018141,           0.0057251,             0.00538,             0.00538,             0.00538
